TransactionID,CustomerID,CustomerName,ProductID,ProductName,ProductCategory,PurchaseQuantity,PurchasePrice,PurchaseDate,Country
1,887,Kenneth Martinez,240,Router,Electronics,5,689.99,3/1/2024,Barbados
2,560,Joseph Anderson,299,Camera,Electronics,4,79.27,1/26/2024,Northern Mariana Islands
3,701,Vincent Reynolds,207,Electric Kettle,Home Appliances,3,666.75,5/13/2024,British Virgin Islands
4,630,Christopher Morris,290,Smartwatch,Electronics,5,316.19,9/21/2023,Guatemala
5,631,Sarah King,281,Toaster,Home Appliances,4,700.24,1/25/2024,Falkland Islands (Malvinas)
6,228,Lisa Davis,282,Television,Electronics,4,668.28,8/30/2023,Namibia
7,694,Matthew Le,277,Microwave,Home Appliances,5,573.41,11/4/2023,Tajikistan
8,677,Scott Miller,282,Heater,Home Appliances,1,310.84,4/20/2024,Montserrat
9,371,Pamela Butler,281,Printer,Electronics,5,610.59,7/7/2023,Luxembourg
10,742,Maria Turner,231,Air Conditioner,Home Appliances,4,447.74,5/3/2024,Sri Lanka
11,801,Jesse Barker,220,Router,Electronics,4,795.8,12/13/2023,Israel
12,595,Gerald Thomas,291,Laptop,Electronics,3,520.3,10/28/2023,Saint Martin
13,981,James Hodges,265,Refrigerator,Home Appliances,2,676.07,1/30/2024,Botswana
14,426,Bryan Cole,218,Television,Electronics,2,34.18,8/2/2023,Australia
15,397,Sharon Barnes,220,Tablet,Electronics,5,851.24,5/6/2024,Greece
16,691,Cheryl Moore,265,Tablet,Electronics,4,887.28,12/24/2023,Luxembourg
17,415,Brandon Long MD,230,Printer,Electronics,4,405.66,9/17/2023,Mozambique
18,461,Douglas Harper,283,Smartphone,Electronics,1,780.64,3/13/2024,Latvia
19,392,Sarah Jordan,233,Headphones,Electronics,5,469.9,4/3/2024,Haiti
20,882,Andrew Williams,271,Laptop,Electronics,4,142.01,9/9/2023,Guyana
21,666,James Cole,270,Heater,Home Appliances,5,599.5,10/12/2023,Sweden
22,738,Barbara Hester,250,Electric Kettle,Home Appliances,5,432.47,11/17/2023,South Africa
23,447,Holly Thomas,277,Microwave,Home Appliances,4,455.57,1/9/2024,Iran
24,612,Andrew Reeves,260,Smartwatch,Electronics,5,489.75,1/13/2024,Korea
25,252,Kaylee Murphy,278,Smartwatch,Electronics,4,86.71,10/27/2023,Central African Republic
26,502,Nancy Evans MD,265,Vacuum Cleaner,Home Appliances,3,342.49,1/18/2024,Liechtenstein
27,825,Karen Smith,242,Headphones,Electronics,2,238.95,3/13/2024,Bouvet Island (Bouvetoya)
28,526,Rebecca Swanson,288,Television,Electronics,1,420.72,2/25/2024,Anguilla
29,711,Walter Patton,299,Heater,Home Appliances,4,421.62,2/5/2024,Montserrat
30,333,Lauren Jackson,280,Printer,Electronics,4,905.79,4/1/2024,Nicaragua
31,893,Brittany Becker,204,Smart Bulb,Electronics,4,482.21,2/3/2024,Yemen
32,817,Albert Edwards,219,Washing Machine,Home Appliances,4,854.91,12/3/2023,Portugal
33,308,Reginald Knapp,294,Heater,Home Appliances,5,801.87,4/3/2024,Bahamas
34,822,Daniel Nguyen,284,Tablet,Electronics,2,280.21,12/28/2023,Mali
35,485,Christopher Barr,243,Blender,Home Appliances,4,342.77,1/24/2024,Guinea
36,792,Michelle Schneider,288,Microwave,Home Appliances,4,920.35,10/6/2023,New Caledonia
37,595,David Grant,228,Printer,Electronics,5,568.75,6/25/2024,French Southern Territories
38,889,Daniel Bush,240,Laptop,Electronics,4,144.34,12/29/2023,Guernsey
39,673,Rebecca Hill,215,Microwave,Home Appliances,1,267.55,2/3/2024,Philippines
40,656,William Cardenas,298,Vacuum Cleaner,Home Appliances,4,333.58,5/3/2024,Cameroon
41,397,Tyler Miller,256,Washing Machine,Home Appliances,4,259.75,3/6/2024,Equatorial Guinea
42,865,Dale Ryan,271,Tablet,Electronics,1,751.53,3/22/2024,Faroe Islands
43,240,Patrick Allen,206,Camera,Electronics,2,653.64,3/12/2024,United Kingdom
44,643,David Garcia,242,Smartphone,Electronics,2,207.37,3/30/2024,Latvia
45,202,Brenda Oconnell,220,Smart Bulb,Electronics,2,246.16,12/1/2023,Palau
46,999,Matthew Avila,236,Refrigerator,Home Appliances,5,948.28,10/28/2023,France
47,761,Randy Pearson,229,Washing Machine,Home Appliances,3,176.11,1/19/2024,Saint Vincent and the Grenadines
48,840,Amanda Dorsey,253,Headphones,Electronics,3,117.02,6/2/2024,Taiwan
49,280,Amanda Huff,263,Smartwatch,Electronics,5,680.57,9/6/2023,Vietnam
50,866,Tammy Mcdowell,201,Coffee Maker,Home Appliances,2,85.24,10/19/2023,Mongolia
51,717,William Mitchell,282,Laptop,Electronics,3,851.79,1/22/2024,Mali
52,605,Brandi Gordon,234,Smart Bulb,Electronics,1,353.73,9/8/2023,Sudan
53,215,Nicholas Wong,291,Toaster,Home Appliances,1,510.9,9/6/2023,American Samoa
54,854,Edward Craig,224,Blender,Home Appliances,4,824.11,9/2/2023,New Caledonia
55,976,Jennifer Patterson,241,Printer,Electronics,3,639.23,7/29/2023,Iran
56,785,William Woods,231,Microwave,Home Appliances,4,184.38,6/28/2023,Eritrea
57,492,Paul Finley,238,Electric Kettle,Home Appliances,5,776.9,2/7/2024,Saint Kitts and Nevis
58,686,Matthew Schwartz,207,Coffee Maker,Home Appliances,5,275.71,3/11/2024,British Indian Ocean Territory (Chagos Archipelago)
59,576,Jared Shaw,290,Laptop,Electronics,3,882.81,4/19/2024,Georgia
60,806,Thomas Phillips,278,Tablet,Electronics,5,614.23,9/19/2023,Cyprus
61,236,Jesse Zhang,247,Toaster,Home Appliances,1,499.36,12/4/2023,Reunion
62,662,Nicole Pham,227,Microwave,Home Appliances,4,220,4/16/2024,Egypt
63,796,Shelley Miller,257,Toaster,Home Appliances,3,881.52,1/17/2024,Romania
64,470,Justin Brown,270,Heater,Home Appliances,1,521.46,6/10/2024,Macedonia
65,307,Brittany Murphy,266,Laptop,Electronics,2,722.87,12/14/2023,Brazil
66,796,Kevin Davis,265,Heater,Home Appliances,2,693.7,12/16/2023,Sudan
67,156,Jose Bryant,207,Air Conditioner,Home Appliances,1,102.12,1/29/2024,Kyrgyz Republic
68,788,Miranda Foster,200,Printer,Electronics,2,313.14,4/10/2024,Cuba
69,692,Jeff Graves,269,Air Conditioner,Home Appliances,5,535.61,7/19/2023,Vietnam
70,170,Mrs. Donna White,217,Heater,Home Appliances,3,358.29,4/18/2024,Norway
71,846,Jennifer Haney,248,Washing Machine,Home Appliances,3,258.89,12/17/2023,Trinidad and Tobago
72,486,Michael Stanley,269,Television,Electronics,3,128.36,8/16/2023,Palau
73,980,Christopher Medina,267,Television,Electronics,2,741.22,8/14/2023,Saint Lucia
74,328,Nicole Good,259,Electric Kettle,Home Appliances,5,600.82,3/13/2024,Saint Helena
75,657,James Hall,258,Television,Electronics,3,235.21,11/7/2023,Cape Verde
76,382,Shaun Cannon,204,Smartwatch,Electronics,1,710.94,5/5/2024,Panama
77,529,Taylor Small,230,Smartwatch,Electronics,1,974.55,9/14/2023,Bangladesh
78,203,Jill Powers,206,Microwave,Home Appliances,4,111.56,9/29/2023,Saint Vincent and the Grenadines
79,145,David Robinson,299,Smart Bulb,Electronics,3,474.7,7/17/2023,Burundi
80,615,Cynthia Hendricks DDS,273,Toaster,Home Appliances,2,965.84,2/13/2024,Sierra Leone
81,788,Cynthia Walter,284,Air Conditioner,Home Appliances,1,823.89,1/14/2024,Cyprus
82,523,Antonio Fry,294,Air Conditioner,Home Appliances,1,581.25,6/14/2024,China
83,741,Kristi Williams,244,Headphones,Electronics,2,813.03,6/25/2024,Norway
84,787,Joseph Horton,252,Refrigerator,Home Appliances,2,127.27,8/22/2023,French Southern Territories
85,485,Joshua Allen,228,Electric Kettle,Home Appliances,5,792.83,10/20/2023,Togo
86,824,Joel Brown,252,Router,Electronics,4,456.01,12/4/2023,Micronesia
87,642,David Harris,282,Washing Machine,Home Appliances,5,990.13,7/26/2023,Uzbekistan
88,560,Anna Hardy,224,Electric Kettle,Home Appliances,5,69.63,7/16/2023,Ethiopia
89,486,Lindsey Russo,224,Television,Electronics,2,272,5/3/2024,Senegal
90,701,Kristin Mendoza,242,Headphones,Electronics,2,182.08,10/21/2023,Zimbabwe
91,115,Colton Figueroa,295,Headphones,Electronics,1,414.43,4/13/2024,Lesotho
92,348,Michele Sanders,230,Washing Machine,Home Appliances,1,239.16,1/26/2024,Gibraltar
93,894,John Wong,239,Air Conditioner,Home Appliances,1,690.51,10/5/2023,Guyana
94,625,Julie Lang,292,Electric Kettle,Home Appliances,2,430.89,12/25/2023,Senegal
95,959,Dale Edwards,205,Headphones,Electronics,3,828.36,1/30/2024,Tonga
96,326,Alexis Tran,274,Smartphone,Electronics,2,794.7,2/5/2024,Saint Helena
97,527,Craig Hall,272,Air Conditioner,Home Appliances,1,474.01,5/14/2024,Ecuador
98,611,Terri Morgan,297,Coffee Maker,Home Appliances,3,505.47,5/10/2024,Liechtenstein
99,840,Katherine Jackson,245,Air Conditioner,Home Appliances,1,602.06,8/30/2023,Burundi
100,837,Catherine Preston,282,Toaster,Home Appliances,5,257.86,7/18/2023,Mali
101,134,Angela Meyers,206,Television,Electronics,5,591.25,4/17/2024,Albania
102,522,Mark Jones,219,Smartwatch,Electronics,5,49.83,6/29/2023,Cuba
103,617,Antonio Little,278,Tablet,Electronics,5,654.99,6/14/2024,Liberia
104,775,Aaron Arnold Jr.,267,Microwave,Home Appliances,5,441.53,4/1/2024,Falkland Islands (Malvinas)
105,648,Alicia Li,286,Refrigerator,Home Appliances,4,354.48,12/10/2023,Sri Lanka
106,283,Brent Hernandez,224,Toaster,Home Appliances,1,859.16,2/21/2024,Mali
107,358,Debra Sanders,247,Coffee Maker,Home Appliances,4,295.34,11/30/2023,Kuwait
108,678,Michael Evans,210,Heater,Home Appliances,1,460.28,3/5/2024,Togo
109,765,Anna Gray,270,Washing Machine,Home Appliances,3,124.76,12/27/2023,Azerbaijan
110,752,Christopher Porter,255,Heater,Home Appliances,1,661.08,3/2/2024,Slovenia
111,439,Shannon Davis,267,Coffee Maker,Home Appliances,1,195.71,6/16/2024,Armenia
112,335,Sean Clay,260,Electric Kettle,Home Appliances,4,629.15,10/9/2023,Aruba
113,176,Diana Daniels,284,Television,Electronics,3,553.73,7/8/2023,Christmas Island
114,970,Tyrone Matthews,296,Air Conditioner,Home Appliances,4,130.21,5/9/2024,Rwanda
115,940,Billy Martin,230,Headphones,Electronics,3,555.33,2/1/2024,Syrian Arab Republic
116,969,Steven Rivera,296,Refrigerator,Home Appliances,2,992.33,4/8/2024,Burundi
117,909,Misty Mason DVM,206,Tablet,Electronics,1,651.23,8/2/2023,Jordan
118,337,Gina Mack,276,Tablet,Electronics,3,513.78,11/27/2023,Singapore
119,434,Donald Riddle,262,Coffee Maker,Home Appliances,4,980.44,9/22/2023,Guinea-Bissau
120,666,Jessica Frazier,284,Tablet,Electronics,5,153.2,11/20/2023,Belize
121,890,Rebecca Marquez,210,Smart Bulb,Electronics,5,748.83,10/8/2023,Cape Verde
122,489,Madison Singh,240,Laptop,Electronics,3,774.95,11/13/2023,Botswana
123,193,Eric Ward,234,Toaster,Home Appliances,5,274.5,8/4/2023,Bulgaria
124,189,Jerry Peters,252,Smartwatch,Electronics,3,839.1,8/5/2023,Anguilla
125,191,Brandon George,241,Microwave,Home Appliances,4,543.19,5/26/2024,Hungary
126,112,James Miller,271,Toaster,Home Appliances,5,765.24,6/11/2024,Ecuador
127,685,Melissa Jackson,234,Air Conditioner,Home Appliances,3,870.91,10/20/2023,Ethiopia
128,604,Christopher Hill,238,Smart Bulb,Electronics,4,241.23,12/31/2023,Slovenia
129,178,Tony Le,263,Blender,Home Appliances,3,747.26,2/11/2024,New Zealand
130,300,Chad Smith,250,Coffee Maker,Home Appliances,2,500.38,11/2/2023,Tajikistan
131,735,Scott Alexander,255,Headphones,Electronics,5,965.7,5/7/2024,Swaziland
132,980,Linda Evans,277,Refrigerator,Home Appliances,4,108.71,3/22/2024,Cook Islands
133,590,Vincent Novak,237,Blender,Home Appliances,2,415.88,4/6/2024,Puerto Rico
134,748,Kenneth Sanchez MD,250,Laptop,Electronics,4,783.71,11/14/2023,Brazil
135,677,Zachary White,298,Toaster,Home Appliances,5,695.78,1/25/2024,Anguilla
136,844,Michael Gonzales,237,Camera,Electronics,5,386.21,5/13/2024,Puerto Rico
137,170,Rebecca Ortiz,263,Air Conditioner,Home Appliances,5,45.54,8/19/2023,Norfolk Island
138,410,Matthew Espinoza,248,Television,Electronics,3,997.45,7/24/2023,Kiribati
139,712,James Hunter,288,Printer,Electronics,1,762.77,12/5/2023,Mauritius
140,137,Heather Woodard,268,Tablet,Electronics,2,697.06,2/11/2024,Northern Mariana Islands
141,187,David Ortega,221,Smartphone,Electronics,3,798.18,3/3/2024,New Caledonia
142,145,Maria Lucas,296,Toaster,Home Appliances,3,436.38,11/1/2023,South Africa
143,540,Brett Walker,295,Router,Electronics,4,570.27,1/13/2024,Micronesia
144,694,Connie Brooks,259,Headphones,Electronics,2,88.18,4/20/2024,Philippines
145,702,Brittany Cuevas,261,Electric Kettle,Home Appliances,2,502.69,8/5/2023,French Polynesia
146,525,Angelica Guerra,293,Television,Electronics,4,641.53,8/20/2023,Guernsey
147,419,Richard Boyd,244,Washing Machine,Home Appliances,1,899.92,12/27/2023,Bhutan
148,548,Jodi Jones,205,Washing Machine,Home Appliances,5,166.4,5/5/2024,Russian Federation
149,217,Greg Rodriguez,221,Toaster,Home Appliances,5,306.16,6/21/2024,Saint Vincent and the Grenadines
150,349,Kristen Rivera,254,Washing Machine,Home Appliances,4,846.85,12/22/2023,Djibouti
151,916,Cody Davidson,255,Printer,Electronics,4,115.59,11/26/2023,Antarctica (the territory South of 60 deg S)
152,855,Christina Vargas,249,Electric Kettle,Home Appliances,3,579.06,6/27/2023,Romania
153,319,Paul Stokes,208,Blender,Home Appliances,4,281.74,2/5/2024,Bosnia and Herzegovina
154,918,Chelsea Nguyen,258,Smart Bulb,Electronics,4,834.51,8/9/2023,Estonia
155,786,Kelsey Fowler,276,Vacuum Cleaner,Home Appliances,5,803.91,11/23/2023,New Caledonia
156,501,Hannah Bruce,279,Television,Electronics,5,258.12,9/1/2023,Suriname
157,789,Elizabeth Mendez,210,Laptop,Electronics,1,315.84,3/13/2024,Burkina Faso
158,420,Eric White,288,Blender,Home Appliances,5,371.21,8/19/2023,Madagascar
159,497,Chad Reyes,223,Laptop,Electronics,3,333.45,1/1/2024,Norfolk Island
160,650,Maria Cooke,271,Microwave,Home Appliances,2,140.84,8/29/2023,Liechtenstein
161,395,Ernest Hayes,206,Heater,Home Appliances,5,914.35,5/27/2024,Guinea-Bissau
162,109,Mr. James Hoffman,283,Smartwatch,Electronics,4,967.71,1/4/2024,Ireland
163,801,Michael Wallace Jr.,272,Toaster,Home Appliances,1,473.65,7/7/2023,South Africa
164,879,Andrew Walker,236,Headphones,Electronics,2,861.54,8/30/2023,Slovakia (Slovak Republic)
165,568,Patricia Simpson,265,Heater,Home Appliances,3,99.4,8/8/2023,Montenegro
166,216,Joshua Ritter,269,Blender,Home Appliances,3,541.21,5/10/2024,Saudi Arabia
167,142,Jessica Robinson,254,Toaster,Home Appliances,3,588.71,8/4/2023,Saint Pierre and Miquelon
168,949,Danielle Golden,204,Refrigerator,Home Appliances,2,476.76,12/17/2023,Estonia
169,456,Angie Grimes,215,Electric Kettle,Home Appliances,2,651.18,4/22/2024,Sudan
170,342,Oscar Norris,290,Washing Machine,Home Appliances,4,125.51,2/18/2024,Niue
171,538,Charles Clark,226,Smartphone,Electronics,3,995.97,5/3/2024,Bahamas
172,683,Douglas Ryan,241,Laptop,Electronics,2,888.39,3/25/2024,French Guiana
173,396,Tiffany Robertson,286,Printer,Electronics,4,377.3,5/7/2024,Bhutan
174,238,Rachel Sellers,235,Electric Kettle,Home Appliances,2,886.56,5/27/2024,Palau
175,229,Brandi Thomas,241,Tablet,Electronics,5,414.03,5/12/2024,Egypt
176,879,Jenna Thomas,280,Blender,Home Appliances,3,225.1,10/8/2023,Nigeria
177,524,Bernard Norton,298,Vacuum Cleaner,Home Appliances,3,108.36,8/1/2023,Iraq
178,627,Melissa Wiley,258,Heater,Home Appliances,3,69.94,1/1/2024,Greece
179,695,Raymond Oconnor,293,Vacuum Cleaner,Home Appliances,1,949.52,12/21/2023,Norfolk Island
180,780,Sarah Flynn,250,Refrigerator,Home Appliances,2,645.29,9/18/2023,Japan
